stream_id,plant,price_cny_per_kt,fv_min_kt,fv_max_kt,coord_ub_kt,source_benchmark_param
s147,A,8520000.0,0.0,0.94,1.88,FVMax(s147.1) and c_P(s147)
s158,A,7180000.0,0.0,0.57,1.14,FVMax(s158.1) and c_P(s158)
s53,A,6800000.0,0.0,0.74,1.48,FVMax(s53.1) and c_P(s53)
s61,A,6080000.0,0.0,0.70,1.40,FVMax(s61.1) and c_P(s61)
s545,A,4965000.0,0.26,0.27,0.54,FVMax(s545.1) and c_P(s545)
s36,B,7600000.0,0.0,0.43,0.86,FVMax(s36.1) and c_P(s36)
s391,B,7100000.0,0.0,1.84,3.68,FVMax(s391.1) and c_P(s391)
s455,B,6780000.0,0.0,2.00,4.00,FVMax(s455.1) and c_P(s455)
s376,B,5828000.0,0.0,0.49,0.98,FVMax(s376.1) and c_P(s376)
s65,B,4730000.0,0.0,0.17,0.34,FVMax(s65.1) and c_P(s65)
