metric,value_cny,note
standalone_a,22729950.00,Refinery A standalone profit
standalone_b,33551820.00,Refinery B standalone profit
standalone_total,56281770.00,System baseline
coordinated_total,60401700.00,Centralized reference
coordination_value,4119930.00,
admm_profit_no_disclosure,60288563.64,Distributed baseline
admm_abs_error,113136.36,
admm_rel_total_error_pct,0.187,
delta_a,5007750.00,A pre-transfer gain
delta_b,-887820.00,B pre-transfer gain
ir_t_lo,-5007750.00,IR interval lower bound
ir_t_hi,-887820.00,IR interval upper bound
