E_aggregate,E_capacity,E_exact,E_stream,E_temporal,S_aggregate_weighted,S_direct_weighted,S_main,S_trajectory_weighted,S_uniform,iteration_count,label,mode,n_iterations,n_pressure_positive,n_pressure_predicted_positive,profit_CNY,rho,seed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,baseline_rho1,no_privacy_distributed,37,7,7,,1.0,20260511
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,baseline_rho1,no_privacy_distributed,37,7,7,,1.0,20260512
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,baseline_rho1,no_privacy_distributed,37,7,7,,1.0,20260513
0.9917168200828639,0.696984126984127,0.0,0.0,0.4666666666666667,0.5564977124258277,0.3233051420600486,0.38148768174258835,0.4892560624292712,0.43107352274673155,,stagewise_quantization,adaptive_ts_ladder,376,126,185,,1.0,20260511
0.9917168200828639,0.696984126984127,0.0,0.0,0.4666666666666667,0.5564977124258277,0.3233051420600486,0.38148768174258835,0.4892560624292712,0.43107352274673155,,stagewise_quantization,adaptive_ts_ladder,376,126,185,,1.0,20260512
0.9917168200828639,0.696984126984127,0.0,0.0,0.4666666666666667,0.5564977124258277,0.3233051420600486,0.38148768174258835,0.4892560624292712,0.43107352274673155,,stagewise_quantization,adaptive_ts_ladder,376,126,185,,1.0,20260513
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,baseline_rho10,no_privacy_distributed,27,4,4,,10.0,20260511
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,baseline_rho10,no_privacy_distributed,25,3,3,,10.0,20260512
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,baseline_rho10,no_privacy_distributed,28,3,3,,10.0,20260513
0.9996638791813764,0.9772727272727273,0.0,0.0,1.0,0.6953369031680272,0.44654049096811554,0.5454041273317519,0.6942509576544571,0.5953873212908207,27,allocation_bucket_0p01,stream_bucket,27,5,6,60401621.12351392,10.0,20260511
0.9996640131265251,0.9821428571428572,0.0,0.0,0.6730769230769231,0.6472725144843937,0.3982325690019458,0.48099355801293486,0.6137377476802501,0.5309767586692611,130,allocation_bucket_0p01,stream_bucket,130,18,22,60401619.54850909,10.0,20260512
0.9996675407906255,0.963428190306803,0.0,0.0,0.6625000000000001,0.6419442773380796,0.39383935966461425,0.4751357691799545,0.6064155557348259,0.5251191462194857,199,allocation_bucket_0p01,stream_bucket,199,26,31,60397450.24691048,10.0,20260513
