iteration,rho,primal_residual,dual_residual,z_A,z_B,sum_f_A,sum_f_B,flow_s147_kton,flow_s158_kton,flow_s53_kton,flow_s61_kton,flow_s545_kton,flow_s36_kton,flow_s391_kton,flow_s455_kton,flow_s376_kton,flow_s65_kton,profit_CNY,dual_residual_is_zero,dual_residual_plot
1,0.1,4.075,0.20375,2.365,5.784999999999999,6.44,9.86,1.88,1.14,1.48,1.4,0.54,0.86,3.68,4.0,0.98,0.34,112563540.0,0,0.20375
2,0.1,4.074999999999999,1.332267629550188e-16,2.365000000000002,5.785,6.44,9.86,1.88,1.14,1.48,1.4,0.54,0.86,3.68,4.0,0.98,0.34,112563540.0,1,1e-09
3,0.1,4.074999999999999,0.0,2.365000000000002,5.785,6.44,9.86,1.88,1.14,1.48,1.4,0.54,0.86,3.68,4.0,0.98,0.34,112563540.0,1,1e-09
4,0.1,4.075000000000001,1.7763568394002506e-16,2.3649999999999984,5.785,6.44,9.86,1.88,1.14,1.48,1.4,0.54,0.86,3.68,4.0,0.98,0.34,112563540.0,1,1e-09
5,0.1,4.074999999999999,1.7763568394002506e-16,2.365000000000002,5.785,6.44,9.86,1.88,1.14,1.48,1.4,0.54,0.86,3.68,4.0,0.98,0.34,112563540.0,1,1e-09
6,0.1,4.075000000000003,3.552713678800501e-16,2.3649999999999984,5.784999999999997,6.44,9.86,1.88,1.14,1.48,1.4,0.54,0.86,3.68,4.0,0.98,0.34,112563540.0,1,1e-09
7,0.1,4.074999999999999,3.552713678800501e-16,2.365000000000002,5.785,6.44,9.86,1.88,1.14,1.48,1.4,0.54,0.86,3.68,4.0,0.98,0.34,112563540.0,1,1e-09
8,0.1,4.0749999999999975,1.7763568394002506e-16,2.365000000000002,5.785000000000004,6.44,9.86,1.88,1.14,1.48,1.4,0.54,0.86,3.68,4.0,0.98,0.34,112563540.0,1,1e-09
9,0.1,4.0749999999999975,0.0,2.365000000000002,5.785000000000004,6.44,9.86,1.88,1.14,1.48,1.4,0.54,0.86,3.68,4.0,0.98,0.34,112563540.0,1,1e-09
10,0.1,4.0749999999999975,0.0,2.365000000000002,5.785000000000004,6.44,9.86,1.88,1.14,1.48,1.4,0.54,0.86,3.68,4.0,0.98,0.34,112563540.0,1,1e-09
11,0.1,4.0749999999999975,0.0,2.365000000000002,5.785000000000004,6.44,9.86,1.88,1.14,1.48,1.4,0.54,0.86,3.68,4.0,0.98,0.34,112563540.0,1,1e-09
